id,citation_id
10.1145/3531146.3533071,10.1145/3593013.3594010
10.1145/3531146.3533071,10.1145/3584931.3606954
10.1145/3531146.3533071,10.1007/s43681-022-00233-w
10.1145/3531146.3533072,10.1145/3597512.3599706
10.1145/3531146.3533072,10.1145/3593013.3594012
10.1145/3531146.3533072,10.1145/3593013.3594010
10.1145/3531146.3533072,10.1145/3593013.3593985
10.1145/3531146.3533072,10.1080/17540763.2023.2189285
10.1145/3531146.3533072,10.1145/3523227.3551480
10.1145/3531146.3533073,10.1111/1758-5899.13146
10.1145/3531146.3533073,10.1109/RIVF55975.2022.10013853
10.1145/3531146.3533077,10.1177/00222437221110139
10.1145/3531146.3533077,10.1016/j.ijhcs.2022.102954
10.1145/3531146.3533077,10.1155/2023/8629849
10.1145/3531146.3533079,10.3390/electronics11203301
10.1145/3531146.3533079,10.3390/info14020131
10.1145/3531146.3533079,10.1145/3631943
10.1145/3531146.3533080,10.1145/3593013.3594088
10.1145/3531146.3533080,10.1145/3593013.3594049
10.1145/3531146.3533080,10.1145/3544548.3580644
10.1145/3531146.3533080,10.1145/3514094.3534192
10.1145/3531146.3533080,10.1145/3551624.3555294
10.1145/3531146.3533081,10.1145/3593013.3594102
10.1145/3531146.3533081,10.1109/BigData55660.2022.10020554
10.1145/3531146.3533082,10.1145/3593013.3594031
10.1145/3531146.3533082,10.1145/3544548.3581240
10.1145/3531146.3533083,10.1145/3623762.3633499
10.1145/3531146.3533083,10.1007/s43681-022-00218-9
10.1145/3531146.3533083,10.1145/3600211.3604718
10.1145/3531146.3533083,10.1145/3600211.3604673
10.1145/3531146.3533083,10.1145/3600211.3604672
10.1145/3531146.3533083,10.1145/3568813.3600120
10.1145/3531146.3533083,10.1111/nyas.15007
10.1145/3531146.3533083,10.1007/s11227-023-05087-5
10.1145/3531146.3533083,10.1145/3593013.3594083
10.1145/3531146.3533083,10.1145/3593013.3594037
10.1145/3531146.3533083,10.1145/3593013.3594019
10.1145/3531146.3533083,10.1145/3593013.3594010
