v,w,weight
"Abbasi, Mohsen","Bhaskara, Aditya",1
"Abbasi, Mohsen","Venkatasubramanian, Suresh",1
"Abebe, Rediet","Aruleba, Kehinde",1
"Abebe, Rediet","Barocas, Solon",1
"Abebe, Rediet","Birhane, Abeba",1
"Abebe, Rediet","Hardt, Moritz",1
"Abebe, Rediet","Jin, Angela",1
"Abebe, Rediet","Kasy, Maximilian",1
"Abebe, Rediet","Kingsley, Sara",1
"Abebe, Rediet","Kleinberg, Jon",1
"Abebe, Rediet","Levy, Karen",1
"Abebe, Rediet","Miller, John",1
"Abebe, Rediet","Obaido, George",1
"Abebe, Rediet","Raghavan, Manish",1
"Abebe, Rediet","Remy, Sekou L.",1
"Abebe, Rediet","Robinson, David G.",1
"Abebe, Rediet","Sadagopan, Swathi",1
"Abebe, Rediet","Schmidt, Ludwig",1
"Abebe, Rediet","Wexler, Rebecca",1
"Abedjan, Ziawasch","Ghazimatin, Azin",1
"Abedjan, Ziawasch","Golebiowski, Jacek",1
"Abedjan, Ziawasch","Kleindessner, Matthaus",1
"Abedjan, Ziawasch","Russell, Chris",1
"Acuna, Daniel E.","Liang, Lizhen",1
"Adams, Stan","Duarte, Natasha",1
"Adar, Eytan","Gilbert, Eric",1
"Adar, Eytan","Kaur, Harmanpreet",1
"Adar, Eytan","Lampe, Cliff",1
"Adel, Heike","Goldberg, Yoav",1
"Adel, Heike","Jacovi, Alon",1
"Adel, Heike","Schuff, Hendrik",1
"Adel, Heike","Vu, Ngoc Thang",1
"Aerni, Sarah","Baker, Lewis",1
"Aerni, Sarah","Baxter, Kathy",1
"Aerni, Sarah","Dawson, Julie",1
"Aerni, Sarah","Kenthapadi, Krishnaram",1
"Aerni, Sarah","Kloumann, Isabel",1
"Aerni, Sarah","Schlesinger, Yoav",1
"Aerni, Sarah","Wallach, Hanna",1
"Agarwal, Sushant","Deshpande, Amit",1
"Agnew, William","Bao, Michelle",1
"Agnew, William","Birhane, Abeba",1
"Agnew, William","Card, Dallas",1
"Agnew, William","Dotan, Ravit",1
"Agnew, William","Gombolay, Matthew",1
"Agnew, William","Hundt, Andrew",1
"Agnew, William","Kacianka, Severin",1
"Agnew, William","Kalluri, Pratyusha",1
"Agnew, William","Zeng, Vicky",1
"Ahmad, Muhammad Aurangzeb","Eckert, Carly",1
"Ahmad, Muhammad Aurangzeb","Teredesai, Ankur",1
"Ahmed, Shazeda","Bogen, Miranda",1
"Ahmed, Shazeda","Rieke, Aaron",1
"Aidinlis, Stergios","Dimitriou, Nikolaos",1
"Aidinlis, Stergios","Gurzawska, Agata",1
"Aidinlis, Stergios","Marquenie, Thomas",1
"Aidinlis, Stergios","Pastaltzidis, Ioannis",1
"Aidinlis, Stergios","Quezada-Tavarez, Katherine",1
"Aidinlis, Stergios","Tzovaras, Dimitrios",1
"Aitken, Mhairi","Coopamootoo, Kovila",1
"Aitken, Mhairi","Elliott, Karen",1
"Aitken, Mhairi","Toreini, Ehsan",1
"Aitken, Mhairi","Zelaya, Carlos Gonzalez",1
"Aitken, Mhairi","van Moorsel, Aad",1
"Akpinar, Nil-Jana","Chouldechova, Alexandra",1
"Akpinar, Nil-Jana","De-Arteaga, Maria",1
"Albarghouthi, Aws","Vinitsky, Samuel",1
"Albert, Kendra","Delano, Maggie",1
"Albini, Emanuele","Dervovic, Danial",1
"Albini, Emanuele","Long, Jason",1
"Albini, Emanuele","Magazzeni, Daniele",1
"Alemmohammad, Sina","Balestriero, Randall",1
"Alemmohammad, Sina","Baraniuk, Richard",1
"Alemmohammad, Sina","Barberan, Cj",1
"Alemmohammad, Sina","Liu, Naiming",1
"Alfano, Mark","Venkatasubramanian, Suresh",1
"Allan, James","Chowdhury, Tanya",1
"Allan, James","Rahimi, Razieh",1
"Allard, Antoine","H\'{e}bert-Dufresne, Laurent",1
"Allard, Antoine","Harp, Randall",1
"Allard, Antoine","Lovato, Juniper L.",1
"Allard, Antoine","Onaolapo, Jeremiah",1
"Allhutter, Doris","Berendt, Bettina",1
"Almeida, Virg\'{\i}lio A. F.","Meira, Wagner",1
"Almeida, Virg\'{\i}lio A. F.","Ottoni, Raphael",1
"Almeida, Virg\'{\i}lio A. F.","Ribeiro, Manoel Horta",1
"Almeida, Virg\'{\i}lio A. F.","West, Robert",1
"Almuzaini, Abdulaziz A.","Bhatt, Chidansh A.",1
"Almuzaini, Abdulaziz A.","Pennock, David M.",1
"Almuzaini, Abdulaziz A.","Singh, Vivek K.",1
"Amershi, Saleema","Barocas, Solon",1
"Amershi, Saleema","Bu\c{c}inca, Zana",1
"Amershi, Saleema","Jakesch, Maurice",1
"Amershi, Saleema","Olteanu, Alexandra",1
"Amershi, Saleema","Smith, Jessie J.",1
"Amershi, Saleema","Wallach, Hanna",1
"Amershi, Saleema","Wortman Vaughan, Jennifer",1
"Amironesei, Razvan","Baker, Dylan",1
"Amironesei, Razvan","D\'{\i}az, Mark",1
"Amironesei, Razvan","Denton, Emily",1
"Amironesei, Razvan","Heller, Katherine",1
"Amironesei, Razvan","Kivlichan, Ian",1
"Amironesei, Razvan","Mincu, Diana",1
"Amironesei, Razvan","Moorosi, Nyalleng",1
