n
"Milli, Smitha"
"Schmidt, Ludwig"
"Dragan, Anca D."
"Hardt, Moritz"
"Ustun, Berk"
"Spangher, Alexander"
"Liu, Yang"
"Russell, Chris"
"Lai, Vivian"
"Tan, Chenhao"
"Passi, Samir"
"Barocas, Solon"
"Hutchinson, Ben"
"Mitchell, Margaret"
"Selbst, Andrew D."
"Boyd, Danah"
"Friedler, Sorelle A."
"Venkatasubramanian, Suresh"
"Vertesi, Janet"
"Engelmann, Severin"
"Chen, Mo"
"Fischer, Felix"
"Kao, Ching-yu"
"Grossklags, Jens"
"Chancellor, Stevie"
"Birnbaum, Michael L."
"Caine, Eric D."
"Silenzio, Vincent M. B."
"De Choudhury, Munmun"
"Obermeyer, Ziad"
"Mullainathan, Sendhil"
"Green, Ben"
"Chen, Yiling"
"Kearns, Michael"
"Neel, Seth"
"Roth, Aaron"
"Wu, Zhiwei Steven"
"Goldenfein, Jake"
"De-Arteaga, Maria"
"Romanov, Alexey"
"Wallach, Hanna"
"Chayes, Jennifer"
"Borgs, Christian"
"Chouldechova, Alexandra"
"Geyik, Sahin"
"Kenthapadi, Krishnaram"
"Kalai, Adam Tauman"
"Chakraborty, Abhijnan"
"Patro, Gourab K."
"Ganguly, Niloy"
"Gummadi, Krishna P."
"Loiseau, Patrick"
"Babaei, Mahmoudreza"
"Kulshrestha, Juhi"
"Redmiles, Elissa M."
"Cha, Meeyoung"
"Ribeiro, Filipe N."
"Saha, Koustuv"
"Henrique, Lucas"
"Messias, Johnnatan"
"Benevenuto, Fabricio"
"Goga, Oana"
"Bountouridis, Dimitrios"
"Harambam, Jaron"
"Makhortykh, Mykola"
"Marrero, M\'{o}nica"
"Tintarev, Nava"
"Hauff, Claudia"
"Celis, L. Elisa"
"Kapoor, Sayash"
"Salehi, Farnood"
"Vishnoi, Nisheeth"
"Elzayn, Hadi"
"Jabbari, Shahin"
"Jung, Christopher"
"Schutzman, Zachary"
"Babaioff, Moshe"
"Nisan, Noam"
"Talgam-Cohen, Inbal"
"Heidari, Hoda"
"Loi, Michele"
"Krause, Andreas"
"Young, Meg"
"Rodriguez, Luke"
"Keller, Emily"
"Sun, Feiyang"
"Sa, Boyang"
"Whittington, Jan"
"Howe, Bill"
"Jiang, Shan"
"Martin, John"
"Wilson, Christo"
"Albarghouthi, Aws"
"Vinitsky, Samuel"
"Wu, Simone"
"Zaldivar, Andrew"
"Barnes, Parker"
"Vasserman, Lucy"
"Spitzer, Elena"
"Raji, Inioluwa Deborah"
"Gebru, Timnit"
"Miller, John"
"Kannan, Sampath"
"Ziani, Juba"
"Immorlica, Nicole"
"Ligett, Katrina"
"Hu, Lily"
"Vaughan, Jennifer Wortman"
"Glymour, Bruce"
"Herington, Jonathan"
"Mittelstadt, Brent"
"Wachter, Sandra"
"Benthall, Sebastian"
"Haynes, Bruce D."
"Leong, Brenda"
"Selinger, Evan"
"Canetti, Ran"
"Cohen, Aloni"
"Dikkala, Nishanth"
"Ramnarayan, Govind"
"Scheffler, Sarah"
"Smith, Adam"
"Huang, Lingxiao"
"Keswani, Vijay"
"Vishnoi, Nisheeth K."
"Scheidegger, Carlos"
"Choudhary, Sonam"
"Hamilton, Evan P."
"Roth, Derek"
"Chen, Jiahao"
"Kallus, Nathan"
"Mao, Xiaojie"
"Svacha, Geoffry"
"Udell, Madeleine"
"Madras, David"
"Creager, Elliot"
"Pitassi, Toniann"
"Zemel, Richard"
"Mouzannar, Hussein"
"Ohannessian, Mesrob I."
"Srebro, Nathan"
"Card, Dallas"
"Zhang, Michael"
"Smith, Noah A."
