n
"Wieringa, Maranke"
"Green, Ben"
"Viljoen, Salom\'{e}"
"Kang, Sunny Seon"
"Raji, Inioluwa Deborah"
"Smart, Andrew"
"White, Rebecca N."
"Mitchell, Margaret"
"Gebru, Timnit"
"Hutchinson, Ben"
"Smith-Loud, Jamila"
"Theron, Daniel"
"Barnes, Parker"
"Katell, Michael"
"Young, Meg"
"Dailey, Dharma"
"Herman, Bernease"
"Guetler, Vivian"
"Tam, Aaron"
"Bintz, Corinne"
"Raz, Daniella"
"Krafft, P. M."
"Sokol, Kacper"
"Flach, Peter"
"Kaminski, Margot E."
"Malgieri, Gianclaudio"
"Barocas, Solon"
"Selbst, Andrew D."
"Raghavan, Manish"
"Lucic, Ana"
"Haned, Hinda"
"de Rijke, Maarten"
"Sendak, Mark"
"Elish, Madeleine Clare"
"Gao, Michael"
"Futoma, Joseph"
"Ratliff, William"
"Nichols, Marshall"
"Bedoya, Armando"
"Balu, Suresh"
"O'Brien, Cara"
"Kallus, Nathan"
"Mao, Xiaojie"
"Zhou, Angela"
"Black, Emily"
"Yeom, Samuel"
"Fredrikson, Matt"
"Marcinkowski, Frank"
"Kieslich, Kimon"
"Starke, Christopher"
"L\""{u}nich, Marco"
"Ribeiro, Manoel Horta"
"Ottoni, Raphael"
"West, Robert"
"Almeida, Virg\'{\i}lio A. F."
"Meira, Wagner"
"Rodolfa, Kit T."
"Salomon, Erika"
"Haynes, Lauren"
"Mendieta, Iv\'{a}n Higuera"
"Larson, Jamie"
"Ghani, Rayid"
"Barabas, Chelsea"
"Doyle, Colin"
"Rubinovitz, JB"
"Dinakar, Karthik"
"Kulynych, Bogdan"
"Overdorf, Rebekah"
"Troncoso, Carmela"
"G\""{u}rses, Seda"
"Pujol, David"
"McKenna, Ryan"
"Kuppam, Satya"
"Hay, Michael"
"Machanavajjhala, Ashwin"
"Miklau, Gerome"
"Slack, Dylan"
"Friedler, Sorelle A."
"Givental, Emile"
"Bietti, Elettra"
"Terzis, Petros"
"Washington, Anne L."
"Kuo, Rachel"
"Noriega-Campero, Alejandro"
"Garcia-Bulle, Bernardo"
"Cantu, Luis Fernando"
"Bakker, Michiel A."
"Tejerina, Luis"
"Pentland, Alex"
"Abebe, Rediet"
"Kleinberg, Jon"
"Levy, Karen"
"Robinson, David G."
"Wagner, Ben"
"Rozgonyi, Krisztina"
"Sekwenz, Marie-Therese"
"Cobbe, Jennifer"
"Singh, Jatinder"
"Toreini, Ehsan"
"Aitken, Mhairi"
"Coopamootoo, Kovila"
"Elliott, Karen"
"Zelaya, Carlos Gonzalez"
"van Moorsel, Aad"
"Venkatasubramanian, Suresh"
"Alfano, Mark"
"Dotan, Ravit"
"Milli, Smitha"
"Zhang, Yunfeng"
"Liao, Q. Vera"
"Bellamy, Rachel K. E."
"Jo, Eun Seo"
"Marda, Vidushi"
"Narayan, Shivangi"
"Geiger, R. Stuart"
"Yu, Kevin"
"Yang, Yanlai"
"Dai, Mindy"
"Qiu, Jie"
"Tang, Rebekah"
"Huang, Jenny"
"Nasr, Milad"
"Tschantz, Michael Carl"
"Ilvento, Christina"
"Jagadeesan, Meena"
"Chawla, Shuchi"
"Sweeney, Chris"
"Najafian, Maryam"
"Celis, L. Elisa"
"Mehrotra, Anay"
"Vishnoi, Nisheeth K."
"Liu, Lydia T."
"Wilson, Ashia"
"Haghtalab, Nika"
"Kalai, Adam Tauman"
"Borgs, Christian"
"Chayes, Jennifer"
"Harrison, Galen"
"Hanson, Julia"
"Jacinto, Christine"
"Ramirez, Julio"
"Ur, Blase"
"Liang, Lizhen"
"Acuna, Daniel E."
"Castelle, Michael"
"Moore, Jared"
"Bates, Jo"
"Cameron, David"
"Checco, Alessandro"
"Clough, Paul"
"Hopfgartner, Frank"
"Mazumdar, Suvodeep"
"Sbaffi, Laura"
"Stordy, Peter"
"de la Vega de Le\'{o}n, Antonio"
"Dean, Sarah"
"Rich, Sarah"
"Recht, Benjamin"
"Papakyriakopoulos, Orestis"
"Hegelich, Simon"
"Serrano, Juan Carlos Medina"
"Marco, Fabienne"
"S\'{a}nchez-Monedero, Javier"
"Dencik, Lina"
"Edwards, Lilian"
"Lum, Kristian"
"Boudin, Chesa"
"Price, Megan"
"Bogen, Miranda"
"Rieke, Aaron"
"Ahmed, Shazeda"
"Hanna, Alex"
"Denton, Emily"
"Hu, Lily"
"Kohler-Hausmann, Issa"
"Binns, Reuben"
"D'Amour, Alexander"
"Srinivasan, Hansa"
"Atwood, James"
"Baljekar, Pallavi"
"Sculley, D."
"Halpern, Yoni"
"Chen, Yiling"
"Kim, Michael P."
"Korolova, Aleksandra"
"Rothblum, Guy N."
"Yona, Gal"
"Yang, Kaiyu"
"Qinami, Klint"
"Fei-Fei, Li"
"Deng, Jia"
"Russakovsky, Olga"
"Mustafaraj, Eni"
"Lurie, Emma"
"Devine, Claire"
"Borradaile, Glencora"
"Burkhardt, Brett"
"LeClerc, Alexandria"
"Rold\'{a}n, Jos\'{e} Mena"
"Vila, Oriol Pujol"
"Marca, Jordi Vitri\`{a}"
"Coston, Amanda"
"Mishler, Alan"
"Kennedy, Edward H."
"Chouldechova, Alexandra"
"Mothilal, Ramaravind K."
"Sharma, Amit"
"Tan, Chenhao"
"Singh, Jaspreet"
"Anand, Avishek"
"Panigutti, Cecilia"
"Perotti, Alan"
"Pedreschi, Dino"
"Hancox-Li, Leif"
"Bhatt, Umang"
"Xiang, Alice"
"Sharma, Shubham"
"Weller, Adrian"
"Taly, Ankur"
"Jia, Yunhan"
"Ghosh, Joydeep"
"Puri, Ruchir"
"Moura, Jos\'{e} M. F."
"Eckersley, Peter"
"Donahue, Kate"
"Elzayn, Hadi"
"Fish, Benjamin"
"Lundgard, Alan"
"Baker, Dylan"
"Baxter, Kathy"
"Schlesinger, Yoav"
"Aerni, Sarah"
"Baker, Lewis"
"Dawson, Julie"
"Kenthapadi, Krishnaram"
"Kloumann, Isabel"
"Wallach, Hanna"
"Pritchard, Helen"
"Snodgrass, Eric"
"Morrison, Romi Ron"
"Britton, Loren"
"Moll, Joana"
"Givens, Alexandra Reeve"
"Morris, Meredith Ringel"
"Sassaman, Hannah"
"Lee, Jennifer"
"Irvine, Jenessa"
"Narayan, Shankar"
"Allhutter, Doris"
"Berendt, Bettina"
"Barry, Marguerite"
"Kerr, Aphra"
"Smith, Oliver"
"Szymielewicz, Katarzyna"
"Bacciarelli, Anna"
"Hidvegi, Fanny"
"Foryciarz, Agata"
"P\'{e}nicaud, Soizic"
"Spielkamp, Matthias"
"Ahmad, Muhammad Aurangzeb"
"Teredesai, Ankur"
"Eckert, Carly"
"Williams, Patrick"
"Kind, Eric"
"Wan, Evelyn"
"de Groot, Aviva"
"Jameson, Shazade"
"P\u{a}un, Mara"
"L\""{u}cking, Phillip"
"Klumbyte, Goda"
"L\""{a}mmerhirt, Danny"
"Goss, Ezra"
"Sabin, Manuel"
"Teeple, Stephanie"
"Biega, Asia J."
"Niklas, Jundefineddrzej"
"Stark, Luke"
"Arya, Vijay"
"Chen, Pin-Yu"
"Dhurandhar, Amit"
"Hind, Michael"
"Hoffman, Samuel C."
"Houde, Stephanie"
"Luss, Ronny"
"Mojsilovi\'{c}, Aleksandra"
"Mourad, Sami"
"Pedemonte, Pablo"
"Raghavendra, Ramya"
"Richards, John"
"Sattigeri, Prasanna"
"Shanmugam, Karthikeyan"
"Singh, Moninder"
"Varshney, Kush R."
"Wei, Dennis"
"Rakova, Bogdana"
"Chowdhury, Rumman"
"Yang, Jingying"
"Oswald, Marion"
"Powell, David"
"Gade, Krishna"
"Geyik, Sahin Cem"
"Mithal, Varun"
"Burke, Robin Douglas"
"Mansoury, Masoud"
"Sonboli, Nasim"
"Sen, Indira"
