n
"Hampton, Lelia Marie"
"Cohen, Maxime C."
"Elmachtoub, Adam N."
"Lei, Xiao"
"Singh, Harvineet"
"Singh, Rina"
"Mhasawade, Vishwali"
"Chunara, Rumi"
"Kasirzadeh, Atoosa"
"Heidari, Hoda"
"Kleinberg, Jon"
"Ron, Tom"
"Ben-Porat, Omer"
"Shalit, Uri"
"Srinivasan, Ramya"
"Uchino, Kanji"
"Park, Joon Sung"
"Bragg, Danielle"
"Kamar, Ece"
"Morris, Meredith Ringel"
"Thornton, Lauren"
"Knowles, Bran"
"Blair, Gordon"
"Chasalow, Kyla"
"Levy, Karen"
"Benami, Elinor"
"Whitaker, Reid"
"La, Vincent"
"Lin, Hongjin"
"Anderson, Brandon R."
"Ho, Daniel E."
"Cheong, Marc"
"Leins, Kobi"
"Coghlan, Simon"
"Ball-Burack, Ari"
"Lee, Michelle Seng Ah"
"Cobbe, Jennifer"
"Singh, Jatinder"
"R\""{a}z, Tim"
"Zhang, Hongjing"
"Davidson, Ian"
"Cheng, Victoria"
"Suriyakumar, Vinith M."
"Dullerud, Natalie"
"Joshi, Shalmali"
"Ghassemi, Marzyeh"
"Miceli, Milagros"
"Yang, Tianling"
"Naudts, Laurens"
"Schuessler, Martin"
"Serbanescu, Diana"
"Hanna, Alex"
"Coston, Amanda"
"Guha, Neel"
"Ouyang, Derek"
"Lu, Lisa"
"Chouldechova, Alexandra"
"Donahue, Kate"
"Barocas, Solon"
"Khani, Fereshte"
"Liang, Percy"
"Awasthi, Pranjal"
"Beutel, Alex"
"Kleindessner, Matth\""{a}us"
"Morgenstern, Jamie"
"Wang, Xuezhi"
"Vincent, Nicholas"
"Li, Hanlin"
"Tilly, Nicole"
"Chancellor, Stevie"
"Hecht, Brent"
"Smart, Andrew"
"Mehrotra, Anay"
"Celis, L. Elisa"
"Andrus, McKane"
"Spitzer, Elena"
"Brown, Jeffrey"
"Xiang, Alice"
"Garg, Nikhil"
"Li, Hannah"
"Monachou, Faidra"
"Richards, John T."
"Kilby, Angela E."
"Yeom, Samuel"
"Tschantz, Michael Carl"
"Martin, Joshua L"
"Black, Emily"
"Fredrikson, Matt"
"Kallus, Nathan"
"Zhou, Angela"
"Sambasivan, Nithya"
"Arnesen, Erin"
"Hutchinson, Ben"
"Doshi, Tulsee"
"Prabhakaran, Vinodkumar"
"Abebe, Rediet"
"Aruleba, Kehinde"
"Birhane, Abeba"
"Kingsley, Sara"
"Obaido, George"
"Remy, Sekou L."
"Sadagopan, Swathi"
"Albert, Kendra"
"Delano, Maggie"
"Karimi, Amir-Hossein"
"Sch\""{o}lkopf, Bernhard"
"Valera, Isabel"
"Barbosa, Simone Diniz Junqueira"
"Barbosa, Gabriel Diniz Junqueira"
"Souza, Clarisse Sieckenius de"
"Leit\~{a}o, Carla Faria"
"Jacobs, Abigail Z."
"Wallach, Hanna"
"Mishler, Alan"
"Kennedy, Edward H."
"Patel, Neel"
"Strobel, Martin"
"Zick, Yair"
"Ionescu, Stefania"
"Hann\'{a}k, Anik\'{o}"
"Joseph, Kenneth"
"Kacianka, Severin"
"Pretschner, Alexander"
"Ghadiri, Mehrdad"
"Samadi, Samira"
"Vempala, Santosh"
"Cho, Won Ik"
"Kim, Jiwon"
"Yang, Jaeyeong"
"Kim, Nam Soo"
"Boag, William"
"Kan\'{e}, Hassan"
"Rawat, Saumya"
"Wei, Jesse"
"Goehler, Alexander"
"Nanda, Vedant"
"Dooley, Samuel"
"Singla, Sahil"
"Feizi, Soheil"
"Dickerson, John P."
"Mulder, Mats"
"Inel, Oana"
"Oosterman, Jasper"
"Tintarev, Nava"
"Finocchiaro, Jessie"
"Maio, Roland"
"Patro, Gourab K"
"Raghavan, Manish"
"Stoica, Ana-Andreea"
"Tsirtsis, Stratis"
"Abbasi, Mohsen"
"Bhaskara, Aditya"
"Venkatasubramanian, Suresh"
"Raji, Inioluwa Deborah"
"Scheuerman, Morgan Klaus"
"Amironesei, Razvan"
"Wang, Jialu"
"Liu, Yang"
"Levy, Caleb"
"Yang, Eddie"
"Roberts, Margaret E."
"Hamon, Ronan"
"Junklewitz, Henrik"
"Malgieri, Gianclaudio"
"Hert, Paul De"
"Beslay, Laurent"
"Sanchez, Ignacio"
"Denton, Emily"
"Greer, Christina"
